ID,Language_ID,Parameter_ID,Form,InterRater_Segments,Segments,reliability_binary
Acehnese-seventyseven-1,Acehnese,seventyseven,tuɟoh ploh tuɟoh,t u ɟ o h + p l o h + t u ɟ o h,t u ɟ o h + p l o h + t u ɟ o h,1
Acehnese-thirtyfour-1,Acehnese,thirtyfour,lhɛə ploh pɯət,l h ɛ ə + p l o h + p ɯ ə t,l h ɛ ə + p l o h + p ɯ ə t,1
Acehnese-thirty-1,Acehnese,thirty,lhɛə ploh ,l h ɛ ə + p l o h,l h ɛ ə + p l o h,1
Acehnese-sixtysix-1,Acehnese,sixtysix,nam ploh nam,n a m + p l o h + n a m,n a m + p l o h + n a m,1
Acehnese-fortysix-1,Acehnese,fortysix,pɯət ploh nam,p ɯ ə t + p l o h + n a m,p ɯ ə t + p l o h + n a m,1
Acehnese-twentyeight-1,Acehnese,twentyeight,duwa ploh lapan,d u w a + p l o h + l a p a n,d u w a + p l o h + l a p a n,1
Acehnese-thirtythree-1,Acehnese,thirtythree,lhɛə ploh lhɛə,l h ɛ ə + p l o h + l h ɛ ə,l h ɛ ə + p l o h + l h ɛ ə,1
Amharic-ninetyone-1,Amharic,ninetyone,zətʼenaand,z ə tʼ e n + a + a n d,z ə tʼ e n + a + a n d,1
Amharic-eighteen-1,Amharic,eighteen,asrasɨmmɨnt,a s r a + s ɨ m m ɨ n t,a s r + a + s ɨ m m ɨ n t,0
Amharic-sixtyfive-1,Amharic,sixtyfive,sɨlsaammɨst,s ɨ l s a + a m m ɨ s t,s ɨ l s + a + a m m ɨ s t,0
Amharic-seven-1,Amharic,seven,səbatt,s ə b a t t,s ə b a t t,1
Amharic-six-1,Amharic,six,səddəst,s ɨ d d ɨ s t,s ɨ d d ɨ s t,1
Amharic-eightysix-1,Amharic,eightysix,səmaɲasəddəst,s ə m a ɲ a + s ɨ d d ɨ s t,s ə m a ɲ + a + s ɨ d d ɨ s t,0
Amharic-sixty-1,Amharic,sixty,sɨlsa,s ɨ l s a,s ɨ l s + a,0
Amharic-fortyone-1,Amharic,fortyone,arbaand,a r b a + a n d,a r b + a + a n d,0
Amharic-fifteen-2,Amharic,fifteen,asrammɨst,a s r a + m m ɨ s t,a s r + a + m m ɨ s t,0
